Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,MA 7,MA 21,MA 200
2023-03-16,19090.908203125,19181.818359375,18636.36328125,18954.544921875,18954.544921875,33272139,545.455078125,136.36328125,19123.376395089286,19047.619047619046,18721.118901367186
2023-03-17,19136.36328125,19136.36328125,18545.455078125,18545.455078125,18545.455078125,37635839,590.908203125,590.908203125,19019.48046875,19008.658017113095,18692.517504882813
2023-03-20,18545.455078125,18727.2734375,18181.818359375,18181.818359375,18181.818359375,25287789,545.455078125,363.63671875,18863.63643973214,18965.368024553572,18663.321704101563
2023-03-21,18363.63671875,18681.818359375,18045.455078125,18590.908203125,18590.908203125,21816519,636.36328125,-227.271484375,18753.246651785714,18902.59737723214,18640.367153320312
2023-03-22,18681.818359375,18727.2734375,18318.181640625,18454.544921875,18454.544921875,14231469,409.091796875,227.2734375,18649.350446428572,18846.3203125,18615.856665039064
2023-03-23,18363.63671875,18545.455078125,18227.2734375,18545.455078125,18545.455078125,15641669,318.181640625,-181.818359375,18662.33761160714,18811.688337053572,18592.150375976562
2023-03-24,18590.908203125,18636.36328125,18454.544921875,18545.455078125,18545.455078125,16884559,181.818359375,45.453125,18545.454520089286,18764.069289434523,18568.793735351563
2023-03-27,18545.455078125,19000.0,18500.0,18909.091796875,18909.091796875,22642179,500.0,-363.63671875,18538.96121651786,18764.069289434523,18548.304233398438
2023-03-28,19000.0,19090.908203125,18818.181640625,18818.181640625,18818.181640625,13751209,272.7265625,181.818359375,18577.92215401786,18790.04334077381,18524.213325195313
2023-03-29,18818.181640625,19181.818359375,18818.181640625,18909.091796875,18909.091796875,20084723,363.63671875,-90.91015625,18681.818359375,18824.67540922619,18501.276264648437
2023-03-30,19090.908203125,19227.2734375,18863.63671875,18909.091796875,18909.091796875,23211209,363.63671875,181.81640625,18727.27315848214,18820.34644717262,18484.632915039063
2023-03-31,18909.091796875,19000.0,18500.0,18909.091796875,18909.091796875,26147329,500.0,0.0,18792.208426339286,18829.004464285714,18473.234321289063
2023-04-03,19136.36328125,19181.818359375,18954.544921875,19090.908203125,19090.908203125,23507549,227.2734375,45.455078125,18870.130301339286,18857.14295014881,18465.891655273437
2023-04-04,19227.2734375,19272.7265625,19045.455078125,19181.818359375,19181.818359375,21850839,227.271484375,45.455078125,18961.03934151786,18887.445963541668,18453.409135742186
2023-04-05,19181.818359375,19545.455078125,19045.455078125,19545.455078125,19545.455078125,28074969,500.0,-363.63671875,19051.948381696428,18904.76199776786,18445.681870117187
2023-04-06,19590.908203125,19909.091796875,19454.544921875,19545.455078125,19545.455078125,30677789,454.546875,45.453125,19155.844587053572,18917.749069940477,18445.227329101563
2023-04-07,19545.455078125,19636.36328125,19181.818359375,19272.7265625,19272.7265625,20419299,454.544921875,272.728515625,19207.792410714286,18917.749069940477,18447.045502929686
2023-04-10,19318.181640625,19409.091796875,18727.2734375,18818.181640625,18818.181640625,29530269,681.818359375,500.0,19194.805245535714,18891.77501860119,18443.409135742186
2023-04-11,18818.181640625,18954.544921875,18727.2734375,18909.091796875,18909.091796875,16132830,227.271484375,-90.91015625,19194.805245535714,18878.788039434523,18438.863686523437
2023-04-12,19000.0,19000.0,18772.7265625,18863.63671875,18863.63671875,11867019,227.2734375,136.36328125,19162.337890625,18898.268601190477,18434.090961914062
2023-04-13,18909.091796875,18909.091796875,18500.0,18590.908203125,18590.908203125,16584809,409.091796875,318.18359375,19077.92215401786,18861.472005208332,18422.95459472656
2023-04-14,18681.818359375,18954.544921875,18636.36328125,18772.7265625,18772.7265625,15188689,318.181640625,-90.908203125,18967.532366071428,18852.813988095237,18414.545502929686
2023-04-17,18727.2734375,19000.0,18727.2734375,18954.544921875,18954.544921875,10203049,272.7265625,-227.271484375,18883.116629464286,18872.294456845237,18405.909135742186
2023-04-18,19000.0,19090.908203125,18909.091796875,19045.455078125,19045.455078125,12728869,181.81640625,-45.455078125,18850.649274553572,18913.420014880954,18399.77277832031
2023-04-19,19136.36328125,19136.36328125,18909.091796875,18909.091796875,18909.091796875,11527009,227.271484375,227.271484375,18863.63643973214,18928.571614583332,18392.500053710937
2023-04-20,18909.091796875,19000.0,18863.63671875,18909.091796875,18909.091796875,7305869,136.36328125,0.0,18863.63643973214,18950.216703869046,18387.045512695313
2023-04-21,18909.091796875,18954.544921875,18818.181640625,18818.181640625,18818.181640625,14757214,136.36328125,90.91015625,18857.14285714286,18963.203683035714,18381.590961914062
2023-04-24,18818.181640625,18909.091796875,18681.818359375,18772.7265625,18772.7265625,17996549,227.2734375,45.455078125,18883.11690848214,18974.02613467262,18377.95459472656
2023-04-25,18909.091796875,19318.181640625,18818.181640625,19136.36328125,19136.36328125,23139819,500.0,-227.271484375,18935.065011160714,18984.848586309523,18374.77277832031
2023-04-26,19136.36328125,20000.0,19000.0,20000.0,20000.0,47673614,1000.0,-863.63671875,19084.41573660714,19041.125651041668,18372.727319335936
2023-04-27,20000.0,20000.0,19636.36328125,19727.2734375,19727.2734375,21121429,363.63671875,272.7265625,19181.818359375,19080.08668154762,18371.13641113281
2023-04-28,19727.2734375,19818.181640625,19454.544921875,19681.818359375,19681.818359375,18360759,363.63671875,45.455078125,19292.207868303572,19116.88318452381,18368.181870117187
2023-05-04,19500.0,19636.36328125,19272.7265625,19363.63671875,19363.63671875,18306639,363.63671875,136.36328125,19357.14285714286,19138.528180803572,18363.636420898438
2023-05-05,19363.63671875,19727.2734375,19272.7265625,19500.0,19500.0,14108929,454.546875,-136.36328125,19454.545479910714,19158.008742559523,18360.227329101563
2023-05-08,19590.908203125,19772.7265625,19500.0,19636.36328125,19636.36328125,12593459,272.7265625,-45.455078125,19577.92215401786,19179.653738839286,18352.954604492188
2023-05-09,19636.36328125,20136.36328125,19636.36328125,19818.181640625,19818.181640625,24655179,500.0,-181.818359375,19675.324776785714,19192.640718005954,18349.318237304688
2023-05-10,19818.181640625,19909.091796875,19681.818359375,19727.2734375,19727.2734375,9717408,227.2734375,90.908203125,19636.363839285714,19201.298735119046,18347.27278808594
